categoryID,categoryNum,categoryDescEN,categoryDescFR,subcategoryNum,subcategoryDescEN,subcategoryDescFR,categoryTypeEN,categoryTypeFR
C1-1,1,Organizations Relieving Poverty,Organismes qui soulagent la pauvreté ,1,"Facilitator organization supporting, improving, and enhancing the work of groups involved in the relief of poverty",Organisme-cadre qui appuie et améliore le travail de groupes impliqués dans le soulagement de la pauvreté,Relief of Poverty,Soulagement de la pauvreté
C1-2,1,Organizations Relieving Poverty,Organismes qui soulagent la pauvreté ,2,Humanitarian assistance (outside of Canada),Aide humanitaire (à l'extérieur du Canada),Relief of Poverty,Soulagement de la pauvreté
C1-3,1,Organizations Relieving Poverty,Organismes qui soulagent la pauvreté ,3,Medical services not otherwise covered by basic health care (dental / optometry / counselling),Services médicaux non-couverts par un régime d'assurance-maladie de base (soins dentaires / optométrie / counseling),Relief of Poverty,Soulagement de la pauvreté
C1-4,1,Organizations Relieving Poverty,Organismes qui soulagent la pauvreté ,4,Operating a food bank,Opérer une banque alimentaire,Relief of Poverty,Soulagement de la pauvreté
C1-5,1,Organizations Relieving Poverty,Organismes qui soulagent la pauvreté ,5,Operating a micro-lending program ,Opérer un programme de micro-prêts,Relief of Poverty,Soulagement de la pauvreté
C1-6,1,Organizations Relieving Poverty,Organismes qui soulagent la pauvreté ,6,Operating a shelter ,Opérér un refuge pour les sans-abri,Relief of Poverty,Soulagement de la pauvreté
C1-7,1,Organizations Relieving Poverty,Organismes qui soulagent la pauvreté ,7,Orphanage,Orphelinat,Relief of Poverty,Soulagement de la pauvreté
C1-8,1,Organizations Relieving Poverty,Organismes qui soulagent la pauvreté ,8,Pro-bono legal services ,Services juridiques pro bono,Relief of Poverty,Soulagement de la pauvreté
C1-9,1,Organizations Relieving Poverty,Organismes qui soulagent la pauvreté ,9,Providing low-cost housing ,Fournir des logements à loyer modique,Relief of Poverty,Soulagement de la pauvreté
C1-10,1,Organizations Relieving Poverty,Organismes qui soulagent la pauvreté ,10,Providing meals (including breakfast programs),Fournir des repas (y compris les programmes de petit-déjeuner),Relief of Poverty,Soulagement de la pauvreté
C1-11,1,Organizations Relieving Poverty,Organismes qui soulagent la pauvreté ,11,Providing medical equipment and supplies,Fournir de l'équipement médical et des fournitures ,Relief of Poverty,Soulagement de la pauvreté
C1-12,1,Organizations Relieving Poverty,Organismes qui soulagent la pauvreté ,12,Providing household items (furniture / appliances),Fournir des articles de maison (meubles / électroménagers),Relief of Poverty,Soulagement de la pauvreté
C1-13,1,Organizations Relieving Poverty,Organismes qui soulagent la pauvreté ,13,Providing material assistance (clothing / computers / equipment) ,Fournir de l'aide matérielle (vêtements / ordinateurs / équipements),Relief of Poverty,Soulagement de la pauvreté
C1-14,1,Organizations Relieving Poverty,Organismes qui soulagent la pauvreté ,14,Providing work related clothing / career development tools / work integration (resume writing / interview tips) ,Fournir vêtements de travail / intégration au marché du travail (rédaction de CV / aide pour entrevues),Relief of Poverty,Soulagement de la pauvreté
C1-15,1,Organizations Relieving Poverty,Organismes qui soulagent la pauvreté ,15,Refugee (support and settlement assistance),Réfugiés / aide aux immigrants dans la pauvreté,Relief of Poverty,Soulagement de la pauvreté
C1-99,1,Organizations Relieving Poverty,Organismes qui soulagent la pauvreté ,99,Other,Autre,Relief of Poverty,Soulagement de la pauvreté
C2-1,2,Foundations Relieving Poverty,Fondations qui soulagent la pauvreté,1,Foundations for specified poverty charities,Fondations pour organismes de bienfaisance spécifiques - pauvreté  ,Relief of Poverty,Soulagement de la pauvreté
C2-2,2,Foundations Relieving Poverty,Fondations qui soulagent la pauvreté,2,Foundations funding poverty QDs in general,Fondations versant des fonds à des DR en général - pauvreté,Relief of Poverty,Soulagement de la pauvreté
C10-1,10,Teaching Institutions,Institutions d'enseignement ,1,Preschool (early-childhood education / junior kindergarten),Préscolaire (petite enfance / pré-maternelle),Advancement of Education,Avancement de l'éducation
C10-2,10,Teaching Institutions,Institutions d'enseignement ,2,Kindergarten,Maternelle,Advancement of Education,Avancement de l'éducation
C10-3,10,Teaching Institutions,Institutions d'enseignement ,3,Public elementary school,École primaire publique,Advancement of Education,Avancement de l'éducation
C10-4,10,Teaching Institutions,Institutions d'enseignement ,4,Independent elementary schools (includes religious),École primaire indépendante (y compris religieuse),Advancement of Education,Avancement de l'éducation
C10-5,10,Teaching Institutions,Institutions d'enseignement ,5,Public middle school,École intermédiare publique,Advancement of Education,Avancement de l'éducation
C10-6,10,Teaching Institutions,Institutions d'enseignement ,6,Independent middle school (including religious) ,École intermédiare indépendante (y compris religieuse),Advancement of Education,Avancement de l'éducation
C10-7,10,Teaching Institutions,Institutions d'enseignement ,7,Public secondary school,École secondaire publique,Advancement of Education,Avancement de l'éducation
C10-8,10,Teaching Institutions,Institutions d'enseignement ,8,Independent secondary school (including religious) ,École secondaire indépendante (y compris religieuse),Advancement of Education,Avancement de l'éducation
C10-9,10,Teaching Institutions,Institutions d'enseignement ,9,Public district board (all grades) ,Conseil scolaire publique (tous les niveaux),Advancement of Education,Avancement de l'éducation
C10-10,10,Teaching Institutions,Institutions d'enseignement ,10,Catholic district / separate school board (all grades),Conseil scolaire catholique / séparé (tous les niveaux),Advancement of Education,Avancement de l'éducation
C10-11,10,Teaching Institutions,Institutions d'enseignement ,11,School association / board / district,Association d'école / conseil / district,Advancement of Education,Avancement de l'éducation
C10-12,10,Teaching Institutions,Institutions d'enseignement ,12,Schools for students with intellectual disabilities (physical / communicative / mental or social learning difficulties),École pour étudiants ayant des besoins spéciaux (difficultés d'apprentissage / physique/ communication / mental ou social),Advancement of Education,Avancement de l'éducation
C10-13,10,Teaching Institutions,Institutions d'enseignement ,13,Vocational / technical school ,Formation professionnelle / technique,Advancement of Education,Avancement de l'éducation
C10-14,10,Teaching Institutions,Institutions d'enseignement ,14,College (includes religious),Collège (y compris religieux),Advancement of Education,Avancement de l'éducation
C10-15,10,Teaching Institutions,Institutions d'enseignement ,15,University (includes religious),Université (y compris religieux),Advancement of Education,Avancement de l'éducation
C10-16,10,Teaching Institutions,Institutions d'enseignement ,16,Educational camps,Camps éducatifs,Advancement of Education,Avancement de l'éducation
C10-99,10,Teaching Institutions,Institutions d'enseignement ,99,Other,Autre,Advancement of Education,Avancement de l'éducation
C11-1,11,Support of schools and education,Soutien aux écoles et à l'éducation,1,School councils (parent-teacher associations),Conseils / associations parents-enseignants,Advancement of Education,Avancement de l'éducation
C11-2,11,Support of schools and education,Soutien aux écoles et à l'éducation,2,Tutoring programs or services,Programmes ou services de tutorat,Advancement of Education,Avancement de l'éducation
C11-3,11,Support of schools and education,Soutien aux écoles et à l'éducation,3,Scholarships / bursaries / awards (scholastic achievement),Bourses / prix (de réussite scolaire),Advancement of Education,Avancement de l'éducation
C11-4,11,Support of schools and education,Soutien aux écoles et à l'éducation,4,Literary / debating society,Société littéraire / d'art oratoire,Advancement of Education,Avancement de l'éducation
C11-5,11,Support of schools and education,Soutien aux écoles et à l'éducation,5,Literacy groups,Groupes d'alphabétisation,Advancement of Education,Avancement de l'éducation
C11-6,11,Support of schools and education,Soutien aux écoles et à l'éducation,6,Construction of schools / Renovations / building supplies,Construction d'écoles / fournitures scolaires,Advancement of Education,Avancement de l'éducation
C11-7,11,Support of schools and education,Soutien aux écoles et à l'éducation,7,Educational aids / school supplies,Soutien à l'éducation / fournitures scolaires,Advancement of Education,Avancement de l'éducation
C11-8,11,Support of schools and education,Soutien aux écoles et à l'éducation,8,Fund for specific college / university / school,Fonds pour collège / université / école spécific,Advancement of Education,Avancement de l'éducation
C11-9,11,Support of schools and education,Soutien aux écoles et à l'éducation,9,Facilitator organization supporting and enhancing the work of groups involved in the advancement of education,Organisme-cadre qui appuie et améliore le travail de groupes impliqués dans l'avancement de l'éducation,Advancement of Education,Avancement de l'éducation
C11-99,11,Support of schools and education,Soutien aux écoles et à l'éducation,99,Other,Autre,Advancement of Education,Avancement de l'éducation
C12-1,12,Education in the arts,Éducation dans le domaine des arts,1,Art school (painting / sculpture / drawing / forms of visual arts),École d'arts (peinture / sculpture / dessin / arts visuels),Advancement of Education,Avancement de l'éducation
C12-2,12,Education in the arts,Éducation dans le domaine des arts,2,Music conservatory / school / society,Conservatoire  / école / société de musique,Advancement of Education,Avancement de l'éducation
C12-3,12,Education in the arts,Éducation dans le domaine des arts,3,Theatre / film / drama school / society / company,Théâtre / École de théâtre / compagnie ou société d'art dramatique ,Advancement of Education,Avancement de l'éducation
C12-4,12,Education in the arts,Éducation dans le domaine des arts,4,Scholarships / bursaries / awards (studying performance arts),Bourses / prix (pour études en arts de la scène),Advancement of Education,Avancement de l'éducation
C12-99,12,Education in the arts,Éducation dans le domaine des arts,99,Other,Autre,Advancement of Education,Avancement de l'éducation
C13-1,13,Educational organizations not elsewhere categorized,Organismes éducatifs non répertoriés ailleurs,1,Cadets,Cadets ,Advancement of Education,Avancement de l'éducation
C13-2,13,Educational organizations not elsewhere categorized,Organismes éducatifs non répertoriés ailleurs,2,Guides,Guides ,Advancement of Education,Avancement de l'éducation
C13-3,13,Educational organizations not elsewhere categorized,Organismes éducatifs non répertoriés ailleurs,3,Scouts,Scouts,Advancement of Education,Avancement de l'éducation
C13-99,13,Educational organizations not elsewhere categorized,Organismes éducatifs non répertoriés ailleurs,99,Other,Autre,Advancement of Education,Avancement de l'éducation
C14-1,14,Research,Recherche,1,Medical research (health sciences / disease),Recherche médicale (sciences de santé / maladie),Advancement of Education,Avancement de l'éducation
C14-2,14,Research,Recherche,2,Environmental research (ecosystem / conservation / wildlife),Recherche environnementale (ecosystèmes / conservation / faune),Advancement of Education,Avancement de l'éducation
C14-3,14,Research,Recherche,3,Social sciences / humanities research (politics / law / linguistics / economics / psychology),Recherche en sciences sociales et humaines (politique / droit / linguistique / économie / psychologie),Advancement of Education,Avancement de l'éducation
C14-4,14,Research,Recherche,4,Public policy research institutes economic / social policy,Instituts de recherche en politique publique / politique sociale,Advancement of Education,Avancement de l'éducation
C14-5,14,Research,Recherche,5,Scholarships / bursaries / awards (for conducting research),Bourses / prix pour effectuer de la recherche,Advancement of Education,Avancement de l'éducation
C14-6,14,Research,Recherche,6,Sciences / physics / chemistry,Sciences / physique / chimie,Advancement of Education,Avancement de l'éducation
C14-99,14,Research,Recherche,99,Other,Autre,Advancement of Education,Avancement de l'éducation
C15-1,15,Foundations Advancing Education,Fondations qui servent à l'avancement de l'éducation,1,Foundations for specified educational charities,Fondations pour organismes de bienfaisance spécifiques - éducation,Advancement of Education,Avancement de l'éducation
C15-2,15,Foundations Advancing Education,Fondations qui servent à l'avancement de l'éducation,2,Foundations funding educational QDs in general,Fondations versant des fonds à des DR en général - éducation,Advancement of Education,Avancement de l'éducation
C30-1,30,Christianity,Christianisme,1,Adventist ,Adventiste,Advancement of Religion,Avancement de la religion
C30-2,30,Christianity,Christianisme,2,Anglican  ,Anglicane,Advancement of Religion,Avancement de la religion
C30-3,30,Christianity,Christianisme,3,Apostolic  ,Apostolique,Advancement of Religion,Avancement de la religion
C30-4,30,Christianity,Christianisme,4,Baptist  ,Baptistes,Advancement of Religion,Avancement de la religion
C30-5,30,Christianity,Christianisme,5,Catholic  ,Catholiques,Advancement of Religion,Avancement de la religion
C30-6,30,Christianity,Christianisme,6,Church of Christ  ,Église du Christ,Advancement of Religion,Avancement de la religion
C30-7,30,Christianity,Christianisme,7,Gospel  ,Évangile,Advancement of Religion,Avancement de la religion
C30-8,30,Christianity,Christianisme,8,Jehovah's Witnesses  ,Congrégations Témoins de Jéhovah ,Advancement of Religion,Avancement de la religion
